sig_TN2C1_140_110   TN2C1_140_110  0.001*0.1*1883.62
sig_TN2C1_220_213   TN2C1_220_213  0.001*0.1*305.328
sig_TN2C1_240_225   TN2C1_240_225  0.001*0.1*227.299
sig_TN2C1_220_180   TN2C1_220_180  0.001*0.1*350.77 
sig_TN2C1_160_145   TN2C1_160_145  0.001*0.1*1050.11
sig_TN2C1_200_170   TN2C1_200_170  0.001*0.1*479.467
sig_TN2C1_220_210   TN2C1_220_210  0.001*0.1*305.328
sig_TN2C1_220_200   TN2C1_220_200  0.001*0.1*321.447
sig_TN2C1_180_160   TN2C1_180_160  0.001*0.1*688.129
sig_TN2C1_220_205   TN2C1_220_205  0.001*0.1*315.958
sig_TN2C1_120_100   TN2C1_120_100  0.001*0.1*3202.23
sig_TN2C1_200_193   TN2C1_200_193  0.001*0.1*436.192
sig_TN2C1_200_180   TN2C1_200_180  0.001*0.1*461.535
sig_TN2C1_200_185   TN2C1_200_185  0.001*0.1*452.886
sig_TN2C1_240_200   TN2C1_240_200  0.001*0.1*250.177
sig_TN2C1_180_173   TN2C1_180_173  0.001*0.1*646.346
sig_TN2C1_180_170   TN2C1_180_170  0.001*0.1*646.346
sig_TN2C1_200_160   TN2C1_200_160  0.001*0.1*508.045
sig_TN2C1_120_80    TN2C1_120_80   0.001*0.1*3764.88
sig_TN2C1_220_190   TN2C1_220_190  0.001*0.1*332.792
sig_TN2C1_120_113   TN2C1_120_113  0.001*0.1*2915.38
sig_TN2C1_180_150   TN2C1_180_150  0.001*0.1*717.89 
sig_TN2C1_180_140   TN2C1_180_140  0.001*0.1*765.649
sig_TN2C1_240_233   TN2C1_240_233  0.001*0.1*220.262
sig_TN2C1_160_140   TN2C1_160_140  0.001*0.1*1075.19
sig_TN2C1_160_153   TN2C1_160_153  0.001*0.1*1002.12
sig_TN2C1_160_130   TN2C1_160_130  0.001*0.1*1127.68
sig_TN2C1_140_133   TN2C1_140_133  0.001*0.1*1645.8 
sig_TN2C1_160_120   TN2C1_160_120  0.001*0.1*1212.64
sig_TN2C1_200_190   TN2C1_200_190  0.001*0.1*436.192
sig_TN2C1_120_110   TN2C1_120_110  0.001*0.1*2915.3
sig_TN2C1_140_130   TN2C1_140_130  0.001*0.1*1645.8
sig_TN2C1_180_165   TN2C1_180_165  0.001*0.1*673.832
sig_TN2C1_120_90    TN2C1_120_90   0.001*0.1*3413.55
sig_TN2C1_240_210   TN2C1_240_210  0.001*0.1*238.394
sig_TN2C1_160_150   TN2C1_160_150  0.001*0.1*1002.12
sig_TN2C1_140_120   TN2C1_140_120  0.001*0.1*1783.58
sig_TN2C1_240_220   TN2C1_240_220  0.001*0.1*230.924
sig_TN2C1_140_125   TN2C1_140_125  0.001*0.1*1736.08
sig_TN2C1_140_100   TN2C1_140_100  0.001*0.1*2047.4 
sig_TN2C1_120_105   TN2C1_120_105  0.001*0.1*3102.79
sig_TN2C1_240_230   TN2C1_240_230  0.001*0.1*220.262
