sig_TN2N1_200_190  TN2N1_200_190  0.001*0.1*266.008
sig_TN2N1_220_210  TN2N1_220_210  0.001*0.1*183.647
sig_TN2N1_220_190  TN2N1_220_190  0.001*0.1*220.057
sig_TN2N1_120_80   TN2N1_120_80   0.001*0.1*3276.91
sig_TN2N1_200_185  TN2N1_200_185  0.001*0.1*279.335
sig_TN2N1_160_145  TN2N1_160_145  0.001*0.1*673.213
sig_TN2N1_180_173  TN2N1_180_173  0.001*0.1*387.889
sig_TN2N1_200_193  TN2N1_200_193  0.001*0.1*258.394
sig_TN2N1_120_105  TN2N1_120_105  0.001*0.1*2109.33
sig_TN2N1_100_93   TN2N1_100_93   0.001*0.1*3743.41
sig_TN2N1_120_113  TN2N1_120_113  0.001*0.1*1850.65
sig_TN2N1_140_125  TN2N1_140_125  0.001*0.1*1142.15
sig_TN2N1_160_153  TN2N1_160_153  0.001*0.1*610.654
sig_TN2N1_180_170  TN2N1_180_170  0.001*0.1*400.603
sig_TN2N1_180_160  TN2N1_180_160  0.001*0.1*446.952
sig_TN2N1_220_213  TN2N1_220_213  0.001*0.1*178.857
sig_TN2N1_160_140  TN2N1_160_140  0.001*0.1*716.441
sig_TN2N1_200_180  TN2N1_200_180  0.001*0.1*293.512
sig_TN2N1_220_200  TN2N1_220_200  0.001*0.1*200.819
sig_TN2N1_220_205  TN2N1_220_205  0.001*0.1*191.992
sig_TN2N1_140_133  TN2N1_140_133  0.001*0.1*1021.43
sig_TN2N1_140_100  TN2N1_140_100  0.001*0.1*1656.37
sig_TN2N1_180_150  TN2N1_180_150  0.001*0.1*500.256
sig_TN2N1_140_120  TN2N1_140_120  0.001*0.1*1226.82
sig_TN2N1_160_130  TN2N1_160_130  0.001*0.1*813.925
sig_TN2N1_160_120  TN2N1_160_120  0.001*0.1*928.733
sig_TN2N1_240_210  TN2N1_240_210  0.001*0.1*154.488
sig_TN2N1_120_110  TN2N1_120_110  0.001*0.1*1942.69
sig_TN2N1_240_233  TN2N1_240_233  0.001*0.1*127.772
sig_TN2N1_160_150  TN2N1_160_150  0.001*0.1*633.219
sig_TN2N1_140_130  TN2N1_140_130  0.001*0.1*1064.73
sig_TN2N1_120_90   TN2N1_120_90   0.001*0.1*2730.59
sig_TN2N1_240_225  TN2N1_240_225  0.001*0.1*136.354
sig_TN2N1_180_165  TN2N1_180_165  0.001*0.1*422.98 
sig_TN2N1_240_220  TN2N1_240_220  0.001*0.1*142.087
sig_TN2N1_140_110  TN2N1_140_110  0.001*0.1*1421.31
sig_TN2N1_220_180  TN2N1_220_180  0.001*0.1*241.666
sig_TN2N1_120_100  TN2N1_120_100  0.001*0.1*2294.44
sig_TN2N1_240_230  TN2N1_240_230  0.001*0.1*130.908
sig_TN2N1_200_160  TN2N1_200_160  0.001*0.1*360.141
sig_TN2N1_240_200  TN2N1_240_200  0.001*0.1*168.277
sig_TN2N1_200_170  TN2N1_200_170  0.001*0.1*324.687
sig_TN2N1_180_140  TN2N1_180_140  0.001*0.1*561.813
